run_id,timestep,total_units_sold,total_demand,total_inventory,total_supply_available,min_price,max_price,shock_active,total_unmet_demand,average_price,transaction_count
685cfc1f-36da-4950-8d6a-19de6ba82169,47,291,291,3097,3388,90,151.77,False,104,117.05098591549297,71
685cfc1f-36da-4950-8d6a-19de6ba82169,48,272,272,3153,3425,90,152.55,False,123,117.90388059701493,67
685cfc1f-36da-4950-8d6a-19de6ba82169,49,248,248,3233,3481,90,140.35,False,140,119.67388059701503,67
685cfc1f-36da-4950-8d6a-19de6ba82169,50,254,254,3307,3561,90,137.78,False,127,118.62602941176466,68
685cfc1f-36da-4950-8d6a-19de6ba82169,51,280,280,3355,3635,90,183.57,False,100,118.2726388888889,72
685cfc1f-36da-4950-8d6a-19de6ba82169,52,303,303,3380,3683,90,168.88,False,85,114.32276315789473,76
685cfc1f-36da-4950-8d6a-19de6ba82169,53,339,339,3369,3708,90,155.37,False,92,109.9185,80
685cfc1f-36da-4950-8d6a-19de6ba82169,54,287,287,3410,3697,90,155.15,False,122,116.09324324324326,74
685cfc1f-36da-4950-8d6a-19de6ba82169,55,279,279,3459,3738,90,142.74,False,115,118.36411764705883,68
685cfc1f-36da-4950-8d6a-19de6ba82169,56,323,323,3464,3787,90,138.08,False,97,118.13084507042237,71
685cfc1f-36da-4950-8d6a-19de6ba82169,57,296,296,3496,3792,90,156.22,False,135,116.638695652174,69
685cfc1f-36da-4950-8d6a-19de6ba82169,58,280,280,3544,3824,90,143.72,False,116,118.43211267605624,71
685cfc1f-36da-4950-8d6a-19de6ba82169,59,276,276,3596,3872,90,157.34,False,122,119.70671641791047,67
685cfc1f-36da-4950-8d6a-19de6ba82169,60,307,307,3575.0,3882.0,90,144.75,True,161,118.91130434782617,69
685cfc1f-36da-4950-8d6a-19de6ba82169,61,275,275,3556.6,3831.6,90,158.94,True,122,119.55647058823531,68
685cfc1f-36da-4950-8d6a-19de6ba82169,62,235,235,3557.62,3792.62,90,151.48,True,149,123.92949999999992,60
685cfc1f-36da-4950-8d6a-19de6ba82169,63,238,238,3541.24,3779.24,90,150.33,True,185,127.8538181818183,55
685cfc1f-36da-4950-8d6a-19de6ba82169,64,235,235,3517.7799999999997,3752.7799999999997,90,154.95,True,181,125.17824561403518,57
685cfc1f-36da-4950-8d6a-19de6ba82169,65,215,215,3507.2599999999998,3722.2599999999998,90,187.43,True,193,127.80865384615385,52
685cfc1f-36da-4950-8d6a-19de6ba82169,66,207,207,3499.7999999999997,3706.7999999999997,90,310.23,True,217,126.60666666666673,54
685cfc1f-36da-4950-8d6a-19de6ba82169,67,242,242,3453.8799999999997,3695.8799999999997,90,285.41,True,155,125.21258620689665,58
685cfc1f-36da-4950-8d6a-19de6ba82169,68,165,165,3482.54,3647.54,90,262.58,True,249,132.2951219512195,41
685cfc1f-36da-4950-8d6a-19de6ba82169,69,121,121,3553.5,3674.5,90,241.57,True,262,139.24468749999997,32
685cfc1f-36da-4950-8d6a-19de6ba82169,70,180,180,3564.2799999999997,3744.2799999999997,90,222.24,True,223,133.27545454545464,44
685cfc1f-36da-4950-8d6a-19de6ba82169,71,180,180,3574.22,3754.22,90,204.46,True,201,132.13,48
685cfc1f-36da-4950-8d6a-19de6ba82169,72,225,225,3538.58,3763.58,90,756.82,True,216,127.41433962264162,53
685cfc1f-36da-4950-8d6a-19de6ba82169,73,174,174,3553.54,3727.54,90,696.27,True,223,130.68571428571437,42
685cfc1f-36da-4950-8d6a-19de6ba82169,74,208,208,3534.22,3742.22,90,640.57,True,198,133.3482978723404,47
685cfc1f-36da-4950-8d6a-19de6ba82169,75,204,204,3518.8999999999996,3722.8999999999996,90,589.32,True,234,132.7188636363637,44
