run_id,timestep,buyer_id,wtp,initial_demand,unmet_demand,fulfilled_demand,served
56966e4d-a618-4450-b99f-70e49d3d508b,0,058af508-96fd-496e-a6f2-930dce58b20a,154.11707241776466,5,0,5,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,154e98f6-ea4d-40d4-b299-1324ee452080,112.46278443664823,6,0,6,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,32ab1050-4510-4453-a8ed-7636ab304847,108.06428843090721,3,3,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,f74f173e-f5de-4562-81e5-7915d58fbe15,122.6350208642394,5,0,5,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,2010bbcd-8df9-4689-9a92-7a8353cfbfd8,145.54675152123488,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,0066ad58-5f3b-4d74-b656-8619c725fe58,102.50208383260036,6,6,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,8072d7f4-466c-4939-b18e-58970abf1371,134.64339779252512,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,7665dcd8-4cd9-4839-8747-7c2713fa568f,137.03512816798406,7,0,7,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,95f54b51-10c7-4b62-bade-01ace5ed7f88,128.0542680317302,8,0,8,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,6fd76769-ece2-4961-9a31-12fe189795a4,107.75177056033164,5,5,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,d667e3bf-7ade-4505-8adf-b504f04e5381,148.54876963116362,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,ad035980-b5ce-49af-8267-49ef0dd4dbd4,159.42983945986313,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,5e7cc22b-03f7-47fb-856f-9f1bc67ca416,94.86556435042834,5,5,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,d4aacb6e-58c3-4dfc-ac4e-3ee4f9a8daee,123.42949553754212,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,f291f506-326d-4dde-8f52-801129f3f14b,138.7817335785915,6,0,6,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,5f326e61-c08d-481a-bc3e-43ece2b74944,145.64700684835321,8,0,8,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,d0a03150-0662-461b-9bcf-f02a11cc198f,166.41292315293603,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,4d6c4eea-2891-4e89-9d77-f67e60119240,106.55985614810368,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,1aebddf0-a5d0-47ee-b5ca-00955a399a82,136.24018943102487,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,fb4dca34-df10-4d11-b6f3-d1ecc32648ca,118.17793149617789,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,4121c436-6404-46b8-b638-882d84e1ff5e,159.51898096107018,7,0,7,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,29ab96ba-23a9-4c43-a1d1-d338b42fae55,112.73309470521237,6,0,6,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,69107999-8389-42df-b579-80e4f2432eac,149.9964849382059,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,52f2a2cd-d2ca-4ac9-9919-935546cd801e,156.57921180873979,1,0,1,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,4916fc99-2123-4087-9d66-1b14a1656b71,162.08508723034282,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,ec31440c-cebe-465a-9ac6-c09c80007bc7,156.19101369721054,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,57720fc6-9e4f-4380-b3b7-4de3f8311799,140.4837568562554,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,b71492a5-f1ec-4981-90b6-2647d1fcdbba,144.0390725244254,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,d541608e-80ba-457c-9f2b-8774ea694d4b,115.90653474260235,5,0,5,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,92d8d648-5b35-4548-87f7-fb6b01a38451,124.68322416169242,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,002cfc5e-0ff2-48b6-9c35-15ffe54be516,146.59038084048146,5,1,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,8c5f5b5f-2fd1-4d61-8d64-48d1bcd58a90,144.98867799455482,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,1b67af76-26ae-447b-b353-10dccfc44880,114.61089666385752,4,0,4,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,930081bc-25a3-4050-a144-b7bf5b8a47b8,100.38926974869968,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,dc83cf92-e8c4-4015-bf0b-2bda4352cc89,109.18912121684932,3,3,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,3f3b56a8-7d8f-49eb-b9b5-17517ae7ae28,117.89998574382538,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,ab52bcea-8e09-48a1-8681-1ca400fb0733,156.41323311056334,5,5,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,3b32ca9c-1b9f-4bfe-8ee0-77f974a86ca2,127.3772493959331,7,7,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,fccc7518-54ce-4601-b7c8-b338f4df7fc0,133.2038118663415,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,c3613f82-7ff9-48f4-800b-13ed13be665a,98.20865013382061,6,6,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,54d9d6ca-1c13-47d7-80e2-9117c5dc5451,124.13616826702476,3,0,3,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,6a3bd3b4-eaf6-4a4c-8f4e-541cf7fed69c,133.70651298830765,5,0,5,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,70da853c-3354-4582-b038-b51ea93d51f8,134.4615948525055,3,3,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,86fe4573-ec1e-426b-ab87-329fec2f0f04,142.2497182110013,2,0,2,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,b01db34c-54d2-4a46-8fcd-89c412d930ff,124.27502532888616,4,4,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,ff44f1eb-f591-44a6-8bbd-d89033b32413,93.37187831569753,7,7,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,03ab1eb4-406e-480e-8664-b1bf485c1878,90.18376009752004,5,5,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,5e32ebc0-56df-41e6-8999-0b9119cf85f4,70.70942324316698,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,a91cd37b-ebbe-4cf2-acd9-0189ae7382a6,145.8161224338016,3,3,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,9706fe1d-8f0a-450b-aebe-994f5ffd2f15,147.95630816821097,2,2,0,False
56966e4d-a618-4450-b99f-70e49d3d508b,0,accc1751-58d0-48d9-ac28-8018dea042e5,159.10091152541423,5,0,5,True
56966e4d-a618-4450-b99f-70e49d3d508b,0,f63a8742-8414-48fc-a403-1a732918a9f1,121.02871583943292,4,0,4,True
