run_id,timestep,seller_id,price,inventory,prod_rate,capacity,units_sold,utilization
56966e4d-a618-4450-b99f-70e49d3d508b,4,7cd83ca6-9dfa-4d39-b82d-7433378a1642,127.83,67,18,220,5,0.2777777777777778
56966e4d-a618-4450-b99f-70e49d3d508b,4,4a9eea1c-94f0-401e-aaf5-fccc0d17b228,129.38,70,18,220,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,5,dc9f2506-c290-4f13-8522-4c0ac2489e1c,127.13,394,70,2000,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,5,54ce8ef6-f2dd-4360-8472-d03631afd54c,117.9,383,70,2000,67,0.9571428571428572
56966e4d-a618-4450-b99f-70e49d3d508b,5,c32e4da4-32da-4ce3-918a-59a37f1177d5,120.44,151,38,550,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,5,eceed33c-423b-4c94-ae23-967c7cd0c506,117.55,55,38,550,130,3.4210526315789473
56966e4d-a618-4450-b99f-70e49d3d508b,5,80a47d09-9195-4590-9d66-0acc0e4224c1,119.55,129,38,550,23,0.6052631578947368
56966e4d-a618-4450-b99f-70e49d3d508b,5,8ce0d296-46f6-441d-989a-48ba7fb9b647,121.93,171,38,550,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,5,7cd83ca6-9dfa-4d39-b82d-7433378a1642,121.15,85,18,220,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,5,4a9eea1c-94f0-401e-aaf5-fccc0d17b228,119.03,34,18,220,54,3.0
56966e4d-a618-4450-b99f-70e49d3d508b,6,dc9f2506-c290-4f13-8522-4c0ac2489e1c,116.96,459,70,2000,5,0.07142857142857142
56966e4d-a618-4450-b99f-70e49d3d508b,6,54ce8ef6-f2dd-4360-8472-d03631afd54c,119.75,453,70,2000,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,6,c32e4da4-32da-4ce3-918a-59a37f1177d5,110.8,41,38,550,148,3.8947368421052633
56966e4d-a618-4450-b99f-70e49d3d508b,6,eceed33c-423b-4c94-ae23-967c7cd0c506,148.36,93,38,550,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,6,80a47d09-9195-4590-9d66-0acc0e4224c1,117.22,163,38,550,4,0.10526315789473684
56966e4d-a618-4450-b99f-70e49d3d508b,6,8ce0d296-46f6-441d-989a-48ba7fb9b647,112.18,158,38,550,51,1.3421052631578947
56966e4d-a618-4450-b99f-70e49d3d508b,6,7cd83ca6-9dfa-4d39-b82d-7433378a1642,111.46,0,18,220,103,5.722222222222222
56966e4d-a618-4450-b99f-70e49d3d508b,6,4a9eea1c-94f0-401e-aaf5-fccc0d17b228,145.22,52,18,220,0,0
56966e4d-a618-4450-b99f-70e49d3d508b,7,dc9f2506-c290-4f13-8522-4c0ac2489e1c,108.44,372,70,2000,157,2.242857142857143
56966e4d-a618-4450-b99f-70e49d3d508b,7,54ce8ef6-f2dd-4360-8472-d03631afd54c,110.17,477,70,2000,46,0.6571428571428571
