t,price,total_supply,total_demand,shock_active
0,98.60975442628619,500.0,360.0,False
1,97.31306729006536,493.04877213143095,362.51995884080674,False
2,96.10401102310088,486.5653364503268,364.90234016865423,False
3,94.97699194153293,480.5200551155045,367.1521027253158,False
4,93.92673577973721,474.8849597076646,369.27433992617136,False
5,92.94827345383995,469.63367889868607,371.27423256264103,False
6,92.03692707955756,464.7413672691997,373.1570058191008,False
7,91.18829626968805,460.1846353977878,374.92789066642194,False
8,90.39824473627482,455.9414813484403,376.59208960384063,False
9,89.66288722135417,451.9912236813741,378.15474664553193,False
10,88.97857677844596,448.3144361067708,379.62092138758453,False
11,88.34189242470197,444.89288389222975,380.99556694413627,False
12,87.74962718102915,441.70946212350987,382.2835115070599,False
13,87.19877651468022,438.7481359051458,383.4894432603972,False
14,86.68652719586132,435.9938825734011,384.61789836726695,False
15,86.2102465769402,433.4326359793066,385.6732517417368,False
16,85.7674722999258,431.051232884701,386.6597103197022,False
17,85.35590243509357,428.83736149962897,387.58130854983244,False
18,84.97338605099901,426.77951217546786,388.44190583686634,False
19,84.61791421368886,424.86693025499505,389.2451856838955,False
20,84.28761141070981,423.0895710684444,389.9946562968016,False
21,83.9807273935416,421.4380570535491,390.693652431895,False
22,83.69562943035058,419.903636967708,391.34533828638104,False
23,83.43079495947057,418.47814715175286,391.95271124999346,False
24,83.18480463276225,417.1539747973529,392.51860635455756,False
25,82.95633573697076,415.9240231638113,393.0457012760486,False
26,82.7441559803795,414.7816786848539,393.53652176064355,False
27,82.54711763143017,413.7207799018975,393.99344736217097,False
28,82.36415199552783,412.73558815715086,394.41871739312165,False
29,82.19426421595881,411.82075997763917,394.81443700495305,False
30,82.03652838469841,410.97132107979405,395.18258332576727,False
31,81.8900829488607,410.18264192349204,395.5250115946079,False
32,81.75412639862435,409.45041474430343,395.84346124160686,False
33,81.62791322264368,408.77063199312175,396.1395618721146,False
34,81.51075011720602,408.1395661132184,396.4148391207949,False
35,81.40199243571392,407.5537505860301,396.6707203485624,False
36,81.30104086543972,407.0099621785696,396.9085401612427,False
37,81.20733831891083,406.5052043271986,397.12954573403607,False
38,81.12036702772674,406.03669159455416,397.33490193032685,False
39,81.03964582707441,405.60183513863365,397.5256962071963,False
40,82.68562681368796,283.6387603947604,397.70294330322,True
41,84.19524182130232,289.3996938479079,394.1196757281252,True
42,85.58089523282614,294.68334637455814,390.8895761262446,True
43,86.85366448989164,299.5331333148915,387.9709703397551,True
44,88.02347885671728,303.9878257146207,385.3282738476613,True
45,89.09926719856156,308.0821759985104,382.930900107786,True
46,90.08908145126466,311.84743519496544,380.7524009302332,True
47,91.00020075797337,315.31178507942633,378.7697823057737,True
48,91.83922004110848,318.5007026529068,376.96295456377595,True
49,92.61212590397064,321.43727014387963,375.31428653938127,True
50,93.32436211431073,324.1424406638972,373.80824110677526,True
51,93.98088644338914,326.63526740008757,372.4310749693675,True
52,94.58622027222614,328.9331025518619,371.1705896395741,True
53,95.1444920999709,331.05177095279146,370.0159235287678,True
54,95.6594758752153,333.00572234989824,368.9573773013025,True
55,96.13462490373848,334.80816556325357,367.98626633304013,True
56,96.57310195411412,336.47118716308466,367.0947954005424,True
57,96.97780607747389,338.0058568393994,366.2759517159519,True
